traceId,activity,timestamp,status,nodeType,poolName,instanceType
2,Activity_00r9ytp,2024-05-14 19:33:15,assign,task,,A
1,Activity_00r9ytp,2024-05-14 19:33:16,complete,task,,A
1,Activity_1e0up6p,2024-05-14 19:33:16,complete,task,,A
2,Activity_00r9ytp,2024-05-14 19:33:16,complete,task,,A
1,Gateway_12s2pcn,2024-05-14 19:33:16,complete,parallelGatewayOpen,,A
1,Event_10vad1o,2024-05-14 19:33:16,complete,endEvent,,A
1,Activity_1gjmuvy,2024-05-14 19:33:16,complete,subProcess,,A
1,Gateway_0x0w83c,2024-05-14 19:33:16,complete,parallelGatewayOpen,,A
1,Activity_03mzyj2,2024-05-14 19:33:16,start,task,,A
1,Activity_1dxzqxr,2024-05-14 19:33:16,start,task,,A
1,Activity_03mzyj2,2024-05-14 19:33:16,assign,task,,A
1,Activity_1dxzqxr,2024-05-14 19:33:16,assign,task,,A
1,Activity_03mzyj2,2024-05-14 19:33:17,complete,task,,A
1,Activity_1dxzqxr,2024-05-14 19:33:17,complete,task,,A
1,Gateway_0tcpd1y,2024-05-14 19:33:17,complete,parallelGatewayOpen,,A
1,Event_0470izu,2024-05-14 19:33:18,complete,startEvent,,A
1,Event_19xn1yt,2024-05-14 19:33:18,complete,endEvent,,A
2,Activity_1e0up6p,2024-05-14 19:33:18,assign,task,,A
3,Activity_03mzyj2,2024-05-14 19:33:18,assign,task,,A
4,Activity_03mzyj2,2024-05-14 19:33:18,assign,task,,A
2,Activity_1e0up6p,2024-05-14 19:33:19,complete,task,,A
3,Activity_03mzyj2,2024-05-14 19:33:19,complete,task,,A
4,Activity_03mzyj2,2024-05-14 19:33:19,complete,task,,A
2,Gateway_12s2pcn,2024-05-14 19:33:19,complete,parallelGatewayOpen,,A
2,Event_10vad1o,2024-05-14 19:33:19,complete,endEvent,,A
2,Activity_1gjmuvy,2024-05-14 19:33:19,complete,subProcess,,A
2,Gateway_0x0w83c,2024-05-14 19:33:19,complete,parallelGatewayOpen,,A
2,Activity_03mzyj2,2024-05-14 19:33:19,start,task,,A
2,Activity_1dxzqxr,2024-05-14 19:33:19,start,task,,A
2,Activity_03mzyj2,2024-05-14 19:33:19,assign,task,,A
2,Activity_1dxzqxr,2024-05-14 19:33:19,assign,task,,A
3,Event_0470izu,2024-05-14 19:33:20,complete,startEvent,,A
3,Event_19xn1yt,2024-05-14 19:33:20,complete,endEvent,,A
4,Event_0470izu,2024-05-14 19:33:20,complete,startEvent,,A
4,Event_19xn1yt,2024-05-14 19:33:20,complete,endEvent,,A
2,Activity_03mzyj2,2024-05-14 19:33:20,complete,task,,A
2,Activity_1dxzqxr,2024-05-14 19:33:20,complete,task,,A
2,Gateway_0tcpd1y,2024-05-14 19:33:20,complete,parallelGatewayOpen,,A
2,Event_0470izu,2024-05-14 19:33:21,complete,startEvent,,A
2,Event_19xn1yt,2024-05-14 19:33:21,complete,endEvent,,A
3,Activity_1dxzqxr,2024-05-14 19:33:21,assign,task,,A
5,Activity_00r9ytp,2024-05-14 19:33:21,assign,task,,A
3,Activity_1dxzqxr,2024-05-14 19:33:22,complete,task,,A
5,Activity_00r9ytp,2024-05-14 19:33:22,complete,task,,A
3,Gateway_0tcpd1y,2024-05-14 19:33:22,complete,parallelGatewayOpen,,A
4,Activity_1dxzqxr,2024-05-14 19:33:23,assign,task,,A
5,Activity_1e0up6p,2024-05-14 19:33:23,assign,task,,A
4,Activity_1dxzqxr,2024-05-14 19:33:24,complete,task,,A
5,Activity_1e0up6p,2024-05-14 19:33:24,complete,task,,A
4,Gateway_0tcpd1y,2024-05-14 19:33:24,complete,parallelGatewayOpen,,A
5,Gateway_12s2pcn,2024-05-14 19:33:24,complete,parallelGatewayOpen,,A
5,Event_10vad1o,2024-05-14 19:33:24,complete,endEvent,,A
5,Activity_1gjmuvy,2024-05-14 19:33:24,complete,subProcess,,A
5,Gateway_0x0w83c,2024-05-14 19:33:24,complete,parallelGatewayOpen,,A
5,Activity_03mzyj2,2024-05-14 19:33:24,start,task,,A
5,Activity_1dxzqxr,2024-05-14 19:33:24,start,task,,A
5,Activity_03mzyj2,2024-05-14 19:33:24,assign,task,,A
5,Activity_1dxzqxr,2024-05-14 19:33:24,assign,task,,A
5,Activity_03mzyj2,2024-05-14 19:33:25,complete,task,,A
5,Activity_1dxzqxr,2024-05-14 19:33:25,complete,task,,A
5,Gateway_0tcpd1y,2024-05-14 19:33:25,complete,parallelGatewayOpen,,A
5,Event_0470izu,2024-05-14 19:33:26,complete,startEvent,,A
5,Event_19xn1yt,2024-05-14 19:33:26,complete,endEvent,,A
1,Activity_1g037pe,2024-05-14 19:33:26,assign,task,,A
6,Activity_03mzyj2,2024-05-14 19:33:26,assign,task,,B
1,Activity_1g037pe,2024-05-14 19:33:27,complete,task,,A
1,Gateway_1kfhh5d,2024-05-14 19:33:27,complete,exclusiveGateway,,A
1,Activity_1vv42v4,2024-05-14 19:33:27,start,task,,A
6,Activity_03mzyj2,2024-05-14 19:33:27,complete,task,,B
1,Activity_1vv42v4,2024-05-14 19:33:27,assign,task,,A
6,Event_0470izu,2024-05-14 19:33:28,complete,startEvent,,B
6,Event_19xn1yt,2024-05-14 19:33:28,complete,endEvent,,B
1,Activity_1vv42v4,2024-05-14 19:33:28,complete,task,,A
1,Gateway_00xfaon,2024-05-14 19:33:28,complete,exclusiveGateway,,A
2,Activity_1g037pe,2024-05-14 19:33:28,assign,task,,A
1,Gateway_072nxfv,2024-05-14 19:33:28,complete,parallelGatewayOpen,,A
1,Event_1nko1os,2024-05-14 19:33:28,complete,endEvent,,A
2,Activity_1g037pe,2024-05-14 19:33:29,complete,task,,A
2,Gateway_1kfhh5d,2024-05-14 19:33:29,complete,exclusiveGateway,,A
2,Activity_1vv42v4,2024-05-14 19:33:29,start,task,,A
6,Activity_1dxzqxr,2024-05-14 19:33:29,assign,task,,B
2,Activity_1vv42v4,2024-05-14 19:33:29,assign,task,,A
6,Activity_1dxzqxr,2024-05-14 19:33:30,complete,task,,B
2,Activity_1vv42v4,2024-05-14 19:33:30,complete,task,,A
2,Gateway_00xfaon,2024-05-14 19:33:30,complete,exclusiveGateway,,A
6,Gateway_0tcpd1y,2024-05-14 19:33:30,complete,parallelGatewayOpen,,B
2,Gateway_072nxfv,2024-05-14 19:33:30,complete,parallelGatewayOpen,,A
2,Event_1nko1os,2024-05-14 19:33:30,complete,endEvent,,A
3,Activity_1g037pe,2024-05-14 19:33:31,assign,task,,A
3,Activity_1g037pe,2024-05-14 19:33:32,complete,task,,A
3,Gateway_1kfhh5d,2024-05-14 19:33:32,complete,exclusiveGateway,,A
3,Activity_1vv42v4,2024-05-14 19:33:32,start,task,,A
3,Activity_1vv42v4,2024-05-14 19:33:32,assign,task,,A
3,Activity_1vv42v4,2024-05-14 19:33:33,complete,task,,A
3,Gateway_00xfaon,2024-05-14 19:33:33,complete,exclusiveGateway,,A
4,Activity_1g037pe,2024-05-14 19:33:33,startSetupTime,worn,,A
3,Gateway_072nxfv,2024-05-14 19:33:33,complete,parallelGatewayOpen,,A
3,Event_1nko1os,2024-05-14 19:33:33,complete,endEvent,,A
4,Activity_1g037pe,2024-05-14 19:33:43,endSetupTime,worn,,A
4,Activity_1g037pe,2024-05-14 19:33:43,startSetupTime,worn,,A
4,Activity_1g037pe,2024-05-14 19:33:53,endSetupTime,worn,,A
4,Activity_1g037pe,2024-05-14 19:33:53,assign,task,,A
4,Activity_1g037pe,2024-05-14 19:33:54,complete,task,,A
4,Gateway_1kfhh5d,2024-05-14 19:33:54,complete,exclusiveGateway,,A
4,Activity_023hl16,2024-05-14 19:33:54,start,task,,A
4,Activity_023hl16,2024-05-14 19:33:54,assign,task,,A
4,Activity_023hl16,2024-05-14 19:33:55,complete,task,,A
4,Gateway_00xfaon,2024-05-14 19:33:55,complete,exclusiveGateway,,A
4,Gateway_072nxfv,2024-05-14 19:33:55,complete,parallelGatewayOpen,,A
4,Event_1nko1os,2024-05-14 19:33:55,complete,endEvent,,A
5,Activity_1g037pe,2024-05-14 19:33:56,assign,task,,A
5,Activity_1g037pe,2024-05-14 19:33:57,complete,task,,A
5,Gateway_1kfhh5d,2024-05-14 19:33:57,complete,exclusiveGateway,,A
5,Activity_023hl16,2024-05-14 19:33:57,start,task,,A
5,Activity_023hl16,2024-05-14 19:33:57,assign,task,,A
5,Activity_023hl16,2024-05-14 19:33:58,complete,task,,A
5,Gateway_00xfaon,2024-05-14 19:33:58,complete,exclusiveGateway,,A
5,Gateway_072nxfv,2024-05-14 19:33:58,complete,parallelGatewayOpen,,A
5,Event_1nko1os,2024-05-14 19:33:58,complete,endEvent,,A
6,Activity_1g037pe,2024-05-14 19:34:02,startSetupTime,instanceTypeChange,,B
6,Activity_1g037pe,2024-05-14 19:34:12,endSetupTime,instanceTypeChange,,B
6,Activity_1g037pe,2024-05-14 19:34:12,startSetupTime,instanceTypeChange,,B
6,Activity_1g037pe,2024-05-14 19:34:22,endSetupTime,instanceTypeChange,,B
6,Activity_1g037pe,2024-05-14 19:34:22,assign,task,,B
6,Activity_1g037pe,2024-05-14 19:34:23,complete,task,,B
6,Gateway_1kfhh5d,2024-05-14 19:34:23,complete,exclusiveGateway,,B
6,Activity_023hl16,2024-05-14 19:34:23,start,task,,B
6,Activity_023hl16,2024-05-14 19:34:23,assign,task,,B
6,Activity_023hl16,2024-05-14 19:34:24,complete,task,,B
6,Gateway_00xfaon,2024-05-14 19:34:24,complete,exclusiveGateway,,B
6,Gateway_072nxfv,2024-05-14 19:34:24,complete,parallelGatewayOpen,,B
6,Event_1nko1os,2024-05-14 19:34:24,complete,endEvent,,B
