traceId,activity,timestamp,status,nodeType,poolName,instanceType
1,StartEvent_1kntfhm,2024-05-14 19:33:15,complete,startEvent,,A
1,Gateway_12h39np,2024-05-14 19:33:15,complete,parallelGatewayOpen,,A
1,Activity_1gjmuvy,2024-05-14 19:33:15,start,subProcess,,A
1,Event_1az1vsj,2024-05-14 19:33:15,complete,startEvent,,A
1,Gateway_0rsod4j,2024-05-14 19:33:15,complete,exclusiveGateway,,A
1,Gateway_0ilgkp1,2024-05-14 19:33:15,complete,parallelGatewayOpen,,A
1,Activity_1g037pe,2024-05-14 19:33:15,start,task,,A
1,Activity_00r9ytp,2024-05-14 19:33:15,start,task,,A
1,Activity_1e0up6p,2024-05-14 19:33:15,start,task,,A
2,StartEvent_1kntfhm,2024-05-14 19:33:15,complete,startEvent,,A
2,Gateway_12h39np,2024-05-14 19:33:15,complete,parallelGatewayOpen,,A
2,Activity_1gjmuvy,2024-05-14 19:33:15,start,subProcess,,A
2,Event_1az1vsj,2024-05-14 19:33:15,complete,startEvent,,A
2,Gateway_0rsod4j,2024-05-14 19:33:15,complete,exclusiveGateway,,A
2,Gateway_0ilgkp1,2024-05-14 19:33:15,complete,parallelGatewayOpen,,A
2,Activity_1g037pe,2024-05-14 19:33:15,start,task,,A
2,Activity_00r9ytp,2024-05-14 19:33:15,start,task,,A
2,Activity_1e0up6p,2024-05-14 19:33:15,start,task,,A
3,StartEvent_1kntfhm,2024-05-14 19:33:15,complete,startEvent,,A
3,Gateway_12h39np,2024-05-14 19:33:15,complete,parallelGatewayOpen,,A
3,Activity_1gjmuvy,2024-05-14 19:33:15,start,subProcess,,A
3,Event_1az1vsj,2024-05-14 19:33:15,complete,startEvent,,A
3,Gateway_0rsod4j,2024-05-14 19:33:15,complete,exclusiveGateway,,A
3,Event_10vad1o,2024-05-14 19:33:15,complete,endEvent,,A
3,Activity_1gjmuvy,2024-05-14 19:33:15,complete,subProcess,,A
3,Gateway_0x0w83c,2024-05-14 19:33:15,complete,parallelGatewayOpen,,A
3,Activity_1g037pe,2024-05-14 19:33:15,start,task,,A
3,Activity_03mzyj2,2024-05-14 19:33:15,start,task,,A
3,Activity_1dxzqxr,2024-05-14 19:33:15,start,task,,A
4,StartEvent_1kntfhm,2024-05-14 19:33:15,complete,startEvent,,A
4,Gateway_12h39np,2024-05-14 19:33:15,complete,parallelGatewayOpen,,A
4,Activity_1gjmuvy,2024-05-14 19:33:15,start,subProcess,,A
4,Event_1az1vsj,2024-05-14 19:33:15,complete,startEvent,,A
4,Gateway_0rsod4j,2024-05-14 19:33:15,complete,exclusiveGateway,,A
4,Event_10vad1o,2024-05-14 19:33:15,complete,endEvent,,A
4,Activity_1gjmuvy,2024-05-14 19:33:15,complete,subProcess,,A
4,Gateway_0x0w83c,2024-05-14 19:33:15,complete,parallelGatewayOpen,,A
4,Activity_1g037pe,2024-05-14 19:33:15,start,task,,A
4,Activity_03mzyj2,2024-05-14 19:33:15,start,task,,A
4,Activity_1dxzqxr,2024-05-14 19:33:15,start,task,,A
5,StartEvent_1kntfhm,2024-05-14 19:33:15,complete,startEvent,,A
5,Gateway_12h39np,2024-05-14 19:33:15,complete,parallelGatewayOpen,,A
5,Activity_1gjmuvy,2024-05-14 19:33:15,start,subProcess,,A
5,Event_1az1vsj,2024-05-14 19:33:15,complete,startEvent,,A
5,Gateway_0rsod4j,2024-05-14 19:33:15,complete,exclusiveGateway,,A
5,Gateway_0ilgkp1,2024-05-14 19:33:15,complete,parallelGatewayOpen,,A
5,Activity_1g037pe,2024-05-14 19:33:15,start,task,,A
5,Activity_00r9ytp,2024-05-14 19:33:15,start,task,,A
5,Activity_1e0up6p,2024-05-14 19:33:15,start,task,,A
6,StartEvent_1kntfhm,2024-05-14 19:33:15,complete,startEvent,,B
6,Gateway_12h39np,2024-05-14 19:33:15,complete,parallelGatewayOpen,,B
6,Activity_1gjmuvy,2024-05-14 19:33:15,start,subProcess,,B
6,Event_1az1vsj,2024-05-14 19:33:15,complete,startEvent,,B
6,Gateway_0rsod4j,2024-05-14 19:33:15,complete,exclusiveGateway,,B
6,Event_10vad1o,2024-05-14 19:33:15,complete,endEvent,,B
6,Activity_1gjmuvy,2024-05-14 19:33:15,complete,subProcess,,B
6,Gateway_0x0w83c,2024-05-14 19:33:15,complete,parallelGatewayOpen,,B
6,Activity_1g037pe,2024-05-14 19:33:15,start,task,,B
6,Activity_03mzyj2,2024-05-14 19:33:15,start,task,,B
6,Activity_1dxzqxr,2024-05-14 19:33:15,start,task,,B
1,Activity_00r9ytp,2024-05-14 19:33:15,assign,task,,A
1,Activity_1e0up6p,2024-05-14 19:33:15,assign,task,,A
